State code,State,Municipality code,Municipality,Population 2015,Population 2016,Population 2017,Population 2018,Population 2019,Cases 2015,Cases 2016,Cases 2017,Cases 2018,Cases 2019
15,Boyacá,15476,Motavita,5673,5608,5542,5569,5641,0,0,0,0,0
15,Boyacá,15480,Muzo,9471,9242,8915,8597,8466,179,263,39,3,3
15,Boyacá,15491,Nobsa,14871,15303,15688,15976,16238,0,0,0,0,0
15,Boyacá,15494,Nuevo Colón,5351,5279,5172,5121,5172,0,0,0,0,0
15,Boyacá,15500,Oicatá,2776,2785,2802,2821,2858,0,0,0,0,0
15,Boyacá,15507,Otanche,9051,8691,8250,8018,8002,63,72,18,0,44
15,Boyacá,15511,Pachavita,2763,2644,2507,2467,2447,0,0,0,0,0
15,Boyacá,15514,Páez,3350,3328,3293,3283,3256,1,1,0,0,2
15,Boyacá,15516,Paipa,30685,31990,32927,33535,34177,0,1,0,0,0
15,Boyacá,15518,Pajarito,2450,2421,2389,2390,2400,9,10,1,0,23
15,Boyacá,15522,Panqueba,1856,1820,1751,1717,1702,0,0,0,0,0
15,Boyacá,15531,Pauna,8046,7551,7270,7185,7198,28,95,2,0,1
15,Boyacá,15533,Paya,2716,2669,2601,2593,2616,2,0,0,1,0
15,Boyacá,15537,Paz de Río,4984,4776,4485,4285,4228,0,0,0,0,0
15,Boyacá,15542,Pesca,8415,7751,7134,6852,6765,0,0,0,0,0
15,Boyacá,15550,Pisba,1799,1783,1763,1763,1779,0,0,0,0,1
15,Boyacá,15572,Puerto Boyacá,46696,46662,46632,46736,47600,233,79,9,54,377
15,Boyacá,15580,Quípama,5076,5002,4917,4889,4939,16,62,1,1,0
15,Boyacá,15599,Ramiriquí,9686,9795,9828,9887,9988,0,0,0,0,1
15,Boyacá,15600,Ráquira,9315,8597,8097,7877,7958,0,0,0,0,0
15,Boyacá,15621,Rondón,2762,2627,2483,2407,2384,1,0,0,0,0
15,Boyacá,15632,Saboyá,12719,13072,13326,13588,13728,0,0,0,0,0
15,Boyacá,15638,Sáchica,4771,5069,5298,5452,5578,0,0,0,0,0
15,Boyacá,15646,Samacá,18432,18355,18232,18298,18588,0,0,0,0,0
15,Boyacá,15660,San Eduardo,1782,1759,1732,1701,1676,1,1,0,0,0
15,Boyacá,15664,San José de Pare,5266,5166,5035,4988,4989,0,22,5,1,1
15,Boyacá,15667,San Luis de Gaceno,5921,5694,5557,5499,5476,8,21,1,0,152
15,Boyacá,15673,San Mateo,4255,3945,3583,3332,3204,3,1,1,0,11
15,Boyacá,15676,San Miguel de Sema,3168,3112,3045,3009,3006,0,0,0,0,0
15,Boyacá,15681,San Pablo de Borbur,6977,6831,6665,6608,6664,17,11,1,1,1
15,Boyacá,15686,Santana,7605,7570,7549,7565,7643,38,218,55,0,8
15,Boyacá,15690,Santa María,4284,4003,3730,3559,3518,4,11,0,4,4
15,Boyacá,15693,Santa Rosa de Viterbo,12571,12744,12904,13066,13205,0,0,0,0,0
15,Boyacá,15696,Santa Sofía,3194,3207,3177,3179,3195,0,0,0,0,0
15,Boyacá,15720,Sativanorte,2547,2436,2322,2221,2177,0,0,0,0,0
15,Boyacá,15723,Sativasur,1131,1113,1092,1097,1100,0,0,0,0,0
15,Boyacá,15740,Siachoque,7061,6927,6792,6729,6747,0,0,0,0,0
15,Boyacá,15753,Soatá,9207,9177,9127,9066,8908,78,425,7,3,16
15,Boyacá,15755,Socotá,8808,8117,7542,7298,7231,0,0,0,0,1
15,Boyacá,15757,Socha,7808,7857,7884,7938,8018,0,0,0,0,0
15,Boyacá,15759,Sogamoso,125719,126087,126653,127235,129346,1,0,0,0,3
15,Boyacá,15761,Somondoco,3011,2986,2924,2910,2887,0,0,0,0,0
15,Boyacá,15762,Sora,2912,2950,2977,3019,3050,0,0,0,0,0
15,Boyacá,15763,Sotaquirá,8078,8086,8067,8162,8237,0,0,0,0,0
15,Boyacá,15764,Soracá,6106,6045,5969,5954,6015,0,0,0,0,0
15,Boyacá,15774,Susacón,2945,2844,2746,2717,2704,0,0,0,0,0
15,Boyacá,15776,Sutamarchán,6107,6095,6074,6092,6164,0,0,0,0,0
15,Boyacá,15778,Sutatenza,4449,4371,4275,4233,4224,0,0,0,0,0
15,Boyacá,15790,Tasco,6234,6087,5926,5882,5823,0,0,0,0,0
15,Boyacá,15798,Tenza,4162,4045,3919,3851,3828,0,0,0,0,0
15,Boyacá,15804,Tibaná,9213,9145,9049,9051,9085,0,0,0,0,0
15,Boyacá,15806,Tibasosa,12262,12448,12678,12940,13196,0,0,0,0,0
15,Boyacá,15808,Tinjacá,3068,3138,3196,3266,3313,0,0,0,0,0
15,Boyacá,15810,Tipacoque,3571,3475,3375,3323,3299,0,21,1,0,13
15,Boyacá,15814,Toca,9018,8928,8802,8767,8831,0,0,0,0,0
15,Boyacá,15816,Togüí,4569,4479,4376,4335,4330,4,19,4,0,6
15,Boyacá,15820,Tópaga,3419,3499,3560,3617,3660,0,0,0,0,0
15,Boyacá,15822,Tota,5401,5315,5198,5179,5206,0,0,0,0,0
15,Boyacá,15832,Tununguá,1523,1534,1529,1540,1559,0,9,0,0,0
15,Boyacá,15835,Turmequé,6381,6251,6152,6118,6131,0,0,0,0,0
15,Boyacá,15837,Tuta,8526,8407,8285,8266,8369,0,0,0,0,0
15,Boyacá,15839,Tutazá,2135,2096,2061,2040,2037,0,0,0,0,0
15,Boyacá,15842,Úmbita,7933,7778,7613,7530,7534,0,0,0,0,0
15,Boyacá,15861,Ventaquemada,14564,15021,15364,15706,15920,0,0,0,0,0
15,Boyacá,15879,Viracachá,3121,2997,2881,2837,2817,0,0,0,0,0
15,Boyacá,15897,Zetaquira,4838,4758,4663,4629,4621,0,2,0,0,0
17,Caldas,17001,Manizales,422715,425277,428373,434403,440608,153,18,11,2,13
17,Caldas,17013,Aguadas,22715,22753,22710,22823,22907,28,3,6,0,0
