State code,State,Municipality code,Municipality,Population 2015,Population 2016,Population 2017,Population 2018,Population 2019,Cases 2015,Cases 2016,Cases 2017,Cases 2018,Cases 2019,Age 0-4 (%),Age 5-14 (%),Age 15-29 (%),Age >30 (%),Afrocolombian Population (%),Indian Population (%),People with Disabilities (%),People who cannot read or write (%),Secondary/Higher Education (%),Employed population (%),Unemployed population (%),People doing housework (%),Retired people (%),Men (%),Women (%),Households without water access (%),Households without internet access (%),Building stratification 1 (%),Building stratification 2 (%),Building stratification 3 (%),Building stratification 4 (%),Building stratification 5 (%),Building stratification 6 (%),Number of hospitals per Km2,Number of houses per Km2
5,Antioquia,5266,Envigado,206158,213188,221252,228848,236114,77,437,77,43,61,3.82,9.34,21.76,65.09,0.66,0.05,5.69,1.47,77.33,46.62,4.31,11.58,9.37,46.11,53.89,0.93,11.07,0.004956386254615941,0.18532468010452577,0.3108782863662573,0.16963354639251144,0.20620529744451668,0.016218669872777907,0.5256410256410257,937.8846153846154
5,Antioquia,5282,Fredonia,23659,23743,23873,24408,24553,2,183,10,2,1,4.56,12.92,21.18,61.35,0.85,0.08,9.34,8.43,44.73,39.58,3.5,23.56,3.04,50.11,49.89,12.5,60.1,0.2507377855503334,0.2870259044704339,0.1575035523007979,0.006230189091704011,0.007541807847852224,0.0018581265712099683,0.008097165991902834,26.639676113360323
5,Antioquia,5284,Frontino,20751,20674,20554,20739,20657,0,13,30,13,3,9.13,19.71,25.18,45.99,0.52,18.91,8.44,14.54,36.49,34.34,2.39,23.3,0.83,50.48,49.52,22.69,66.92,0.2547993019197208,0.29990602765471874,0.12364075714861056,0.00899449590549067,0.00013424620754463686,0.0002684924150892737,0.0008090614886731392,4.774271844660194
5,Antioquia,5306,Giraldo,5225,5280,5364,5544,5652,2,1,0,1,2,7.26,17.62,24.8,50.33,0.3,0.0,6.27,6.49,42.83,36.86,3.99,21.73,0.2,51.51,48.49,9.42,64.63,0.5107573149741824,0.14285714285714285,0.004733218588640275,0.0,0.0,0.0,0.010416666666666666,16.15625
5,Antioquia,5308,Girardota,48238,48911,49965,51662,53162,29,69,2,2,17,4.95,12.39,25.78,56.88,6.07,0.09,11.54,4.13,63.62,41.4,4.54,17.7,4.83,49.15,50.85,8.29,38.02,0.055750878955298844,0.6697360343769183,0.09637814610190301,0.008873263016909426,0.0037390479379429656,0.0019532339974328923,0.05128205128205128,194.87179487179486
5,Antioquia,5310,Gómez Plata,10208,9792,9662,9753,9828,3,3,2,0,2,5.1,14.61,20.8,59.49,0.8,0.01,15.59,6.53,44.08,36.17,5.08,23.7,2.94,50.38,49.62,15.91,50.67,0.2707774798927614,0.37131367292225204,0.00871313672922252,0.0006702412868632708,0.0,0.00022341376228775692,0.002777777777777778,8.252777777777778
5,Antioquia,5313,Granada,11060,10544,10159,10117,9870,3,6,0,0,0,8.0,17.62,23.36,51.02,1.78,1.27,16.22,8.81,36.43,36.31,3.46,22.66,1.1,49.6,50.4,5.76,43.08,0.179675304402123,0.13284420855448018,0.16500156103652824,0.00031220730565095225,0.0,0.00015610365282547612,0.01092896174863388,17.60655737704918
5,Antioquia,5315,Guadalupe,6396,6424,6435,6560,6607,1,3,1,0,0,5.94,16.12,25.57,52.37,0.53,0.09,9.57,10.84,39.82,33.73,4.37,26.06,0.4,51.01,48.99,31.73,69.25,0.37657489500699953,0.39244050396640223,0.022865142323845077,0.0013999066728884741,0.0,0.0,0.011494252873563218,20.04597701149425
5,Antioquia,5318,Guarne,47228,48944,51574,55121,56774,1,10,1,0,0,5.27,11.83,25.53,57.37,0.45,0.09,5.2,4.22,60.41,41.98,3.27,18.81,3.86,49.56,50.44,6.46,34.15,0.0650775633749527,0.28816685584562995,0.23817631479379492,0.01570185395384033,0.0030741581536133183,0.00037835792659856227,0.033112582781456956,86.69536423841059
5,Antioquia,5321,Guatapé,7506,7864,8124,8363,8548,3,23,2,0,1,5.87,13.21,24.3,56.62,0.41,0.06,4.82,2.74,59.48,42.58,2.3,20.08,4.28,48.62,51.38,1.74,32.98,0.020103232817169248,0.5153490899212171,0.11192610703613148,0.0054333061668024995,0.0019016571583808748,0.0010866612333604998,0.014492753623188406,35.36231884057971
